"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 00:00","2021","12","01","00:00","-0.2","","-2.1","","87","","0.0","","29","","13","","16.1","","99.43","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 01:00","2021","12","01","01:00","-0.1","","-1.9","","88","","0.0","","30","","13","","16.1","","99.47","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 02:00","2021","12","01","02:00","-0.2","","-2.0","","88","","0.0","","28","","9","","16.1","","99.53","","","","-3","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 03:00","2021","12","01","03:00","-0.8","","-2.1","","91","","0.0","","25","","11","","16.1","","99.59","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 04:00","2021","12","01","04:00","-0.9","","-2.3","","90","","0.0","","26","","9","","16.1","","99.56","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 05:00","2021","12","01","05:00","-1.3","","-2.7","","90","","0.0","","29","","5","","16.1","","99.50","","","","-3","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 06:00","2021","12","01","06:00","-2.1","","-3.5","","90","","0.0","","25","","8","","16.1","","99.56","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 07:00","2021","12","01","07:00","-2.9","","-3.9","","93","","0.0","","22","","9","","16.1","","99.62","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 08:00","2021","12","01","08:00","-2.0","","-3.3","","91","","0.0","","17","","5","","16.1","","99.60","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 09:00","2021","12","01","09:00","-0.8","","-2.2","","90","","0.0","","21","","4","","16.1","","99.61","","","","-2","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 10:00","2021","12","01","10:00","0.9","","-1.4","","85","","0.0","","","M","4","","16.1","","99.58","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 11:00","2021","12","01","11:00","3.2","","-0.2","","78","","0.0","","20","","17","","16.1","","99.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 12:00","2021","12","01","12:00","3.7","","-0.6","","74","","0.0","","20","","21","","16.1","","99.40","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 13:00","2021","12","01","13:00","4.7","","-0.3","","70","","0.0","","19","","22","","16.1","","99.22","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 14:00","2021","12","01","14:00","4.6","","0.7","","76","","0.0","","20","","18","","16.1","","99.13","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 15:00","2021","12","01","15:00","5.1","","1.8","","79","","0.0","","19","","18","","16.1","","99.05","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 16:00","2021","12","01","16:00","5.3","","1.8","","78","","0.0","","17","","11","","16.1","","99.03","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 17:00","2021","12","01","17:00","5.1","","2.6","","84","","0.0","","17","","11","","16.1","","99.01","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 18:00","2021","12","01","18:00","5.0","","3.3","","89","","0.2","","18","","15","","16.1","","98.96","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 19:00","2021","12","01","19:00","5.1","","4.1","","93","","0.2","","17","","22","","12.9","","98.81","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 20:00","2021","12","01","20:00","5.5","","4.3","","92","","0.0","","18","","22","","12.9","","98.73","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 21:00","2021","12","01","21:00","5.8","","4.7","","93","","0.0","","20","","22","","14.5","","98.64","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 22:00","2021","12","01","22:00","5.7","","5.1","","96","","0.0","","20","","26","","4.8","","98.50","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-12-01 23:00","2021","12","01","23:00","5.9","","5.0","","94","","0.0","","21","","30","","16.1","","98.37","","","","","","NA"
