"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 00:00","2022","06","01","00:00","20.8","","16.9","","78","","0.0","","21","","15","","16.1","","98.99","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 01:00","2022","06","01","01:00","20.8","","16.5","","76","","0.0","","23","","13","","16.1","","99.01","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 02:00","2022","06","01","02:00","19.8","","16.5","","81","","0.0","","21","","13","","16.1","","98.97","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 03:00","2022","06","01","03:00","19.3","","16.6","","84","","0.0","","22","","15","","16.1","","98.98","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 04:00","2022","06","01","04:00","19.2","","16.7","","85","","0.0","","22","","15","","16.1","","98.92","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 05:00","2022","06","01","05:00","20.3","","17.0","","81","","0.0","","23","","15","","16.1","","98.90","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 06:00","2022","06","01","06:00","21.7","","17.6","","77","","0.0","","23","","18","","16.1","","98.94","","27","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 07:00","2022","06","01","07:00","23.9","","18.2","","70","","0.0","","25","","17","","16.1","","98.95","","30","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 08:00","2022","06","01","08:00","26.0","","18.7","","64","","0.0","","25","","26","","16.1","","98.91","","33","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 09:00","2022","06","01","09:00","25.3","","18.4","","65","","0.0","","26","","18","","16.1","","98.91","","32","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 10:00","2022","06","01","10:00","27.6","","19.7","","61","","0.0","","26","","15","","16.1","","98.87","","35","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 11:00","2022","06","01","11:00","28.1","","20.0","","61","","0.0","","23","","17","","16.1","","98.88","","36","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 12:00","2022","06","01","12:00","28.7","","20.0","","59","","0.0","","21","","26","","16.1","","98.76","","36","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 13:00","2022","06","01","13:00","20.2","","17.4","","84","","12.2","","35","","24","","16.1","","98.72","","26","","","","Thunderstorms,Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 14:00","2022","06","01","14:00","22.1","","18.5","","80","","0.0","","29","","22","","16.1","","98.78","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 15:00","2022","06","01","15:00","23.5","","19.7","","79","","0.0","","31","","17","","16.1","","98.76","","31","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 16:00","2022","06","01","16:00","21.9","","19.3","","85","","0.0","","36","","22","","16.1","","98.77","","29","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 17:00","2022","06","01","17:00","21.5","","18.1","","81","","0.0","","36","","17","","16.1","","98.75","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 18:00","2022","06","01","18:00","18.0","","15.7","","86","","0.0","","36","","21","","16.1","","98.80","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 19:00","2022","06","01","19:00","15.7","","12.8","","83","","0.0","","36","","15","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 20:00","2022","06","01","20:00","14.6","","11.8","","83","","0.0","","2","","13","","16.1","","98.81","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 21:00","2022","06","01","21:00","14.1","","11.1","","82","","0.0","","2","","9","","16.1","","98.85","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 22:00","2022","06","01","22:00","14.0","","11.7","","86","","0.0","","36","","9","","16.1","","98.85","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-01 23:00","2022","06","01","23:00","13.4","","11.6","","89","","0.0","","35","","9","","16.1","","98.85","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 00:00","2022","06","02","00:00","13.2","","11.4","","89","","0.0","","1","","13","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 01:00","2022","06","02","01:00","13.4","","11.5","","88","","0.0","","36","","11","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 02:00","2022","06","02","02:00","13.1","","11.0","","87","","0.0","","35","","13","","16.1","","98.85","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 03:00","2022","06","02","03:00","13.4","","9.9","","79","","0.0","","2","","11","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 04:00","2022","06","02","04:00","12.8","","9.3","","79","","0.0","","3","","15","","16.1","","98.76","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 05:00","2022","06","02","05:00","12.2","","8.1","","76","","0.0","","2","","18","","16.1","","98.84","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 06:00","2022","06","02","06:00","11.5","","6.3","","70","","0.0","","2","","17","","16.1","","98.85","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 07:00","2022","06","02","07:00","11.3","","5.2","","66","","0.0","","1","","18","","16.1","","98.88","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 08:00","2022","06","02","08:00","12.4","","5.8","","64","","0.0","","1","","18","","16.1","","98.87","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 09:00","2022","06","02","09:00","14.5","","7.4","","62","","0.0","","1","","17","","16.1","","98.81","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 10:00","2022","06","02","10:00","14.9","","8.3","","64","","0.0","","2","","11","","16.1","","98.79","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 11:00","2022","06","02","11:00","14.8","","8.3","","65","","0.0","","34","","17","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 12:00","2022","06","02","12:00","13.0","","9.1","","77","","0.2","","34","","18","","16.1","","98.85","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-06-02 13:00","2022","06","02","13:00","13.7","","9.2","","74","","0.0","","35","","13","","16.1","","98.81","","","","","","NA"
