"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 00:00","2021","01","01","00:00","-2.8","","-4.6","","87","","0.0","","13","","5","","16.1","","100.63","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 01:00","2021","01","01","01:00","-1.7","","-5.2","","77","","0.0","","12","","8","","16.1","","100.60","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 02:00","2021","01","01","02:00","-1.9","","-4.9","","80","","0.0","","10","","9","","16.1","","100.56","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 03:00","2021","01","01","03:00","-2.2","","-5.0","","81","","0.0","","14","","9","","16.1","","100.60","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 04:00","2021","01","01","04:00","-1.2","","-4.1","","81","","0.0","","14","","9","","16.1","","100.52","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 05:00","2021","01","01","05:00","-0.4","","-3.6","","79","","0.0","","13","","11","","16.1","","100.47","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 06:00","2021","01","01","06:00","-1.5","","-4.2","","82","","0.0","","9","","15","","16.1","","100.38","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 07:00","2021","01","01","07:00","-0.9","","-3.7","","81","","0.0","","11","","17","","16.1","","100.40","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 08:00","2021","01","01","08:00","-0.7","","-3.4","","82","","0.0","","11","","17","","16.1","","100.29","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 09:00","2021","01","01","09:00","-0.4","","-2.9","","83","","0.0","","11","","21","","16.1","","100.19","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 10:00","2021","01","01","10:00","-0.1","","-2.6","","83","","0.0","","10","","26","","16.1","","100.12","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 11:00","2021","01","01","11:00","0.3","","-2.3","","83","","0.0","","9","","26","","16.1","","99.93","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 12:00","2021","01","01","12:00","0.4","","-2.5","","81","","0.0","","11","","32","","16.1","","99.83","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 13:00","2021","01","01","13:00","0.6","","-2.3","","81","","0.0","","9","","28","","16.1","","99.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 14:00","2021","01","01","14:00","0.5","","-1.3","","88","","0.5","","10","","28","","16.1","","99.36","","","","","","Freezing Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 15:00","2021","01","01","15:00","0.4","","-0.8","","92","","2.2","","9","","24","","8.1","","99.46","","","","","","Freezing Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 16:00","2021","01","01","16:00","0.4","","-0.3","","95","","2.0","","8","","37","","16.1","","99.13","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 17:00","2021","01","01","17:00","0.4","","-0.5","","94","","0.0","","9","","41","","16.1","","99.03","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 18:00","2021","01","01","18:00","0.3","","-0.4","","95","","0.0","","9","","37","","14.5","","98.86","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 19:00","2021","01","01","19:00","0.7","","0.3","","97","","0.2","","10","","37","","14.5","","98.73","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 20:00","2021","01","01","20:00","1.1","","0.8","","98","","0.2","","10","","30","","9.7","","98.63","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 21:00","2021","01","01","21:00","1.7","","1.4","","98","","0.8","","9","","28","","9.7","","98.41","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 22:00","2021","01","01","22:00","2.1","","1.8","","98","","0.0","","10","","22","","16.1","","98.28","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-01 23:00","2021","01","01","23:00","2.2","","2.1","","99","","2.2","","10","","18","","12.9","","98.23","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 00:00","2021","01","02","00:00","2.4","","2.3","","99","","0.8","","11","","13","","9.7","","98.18","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 01:00","2021","01","02","01:00","0.9","","0.8","","99","","2.0","","36","","17","","4.8","","98.18","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 02:00","2021","01","02","02:00","0.1","","0.0","","99","","1.2","","36","","21","","12.9","","98.26","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 03:00","2021","01","02","03:00","0.2","","-0.1","","98","","0.2","","34","","21","","4.8","","98.49","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 04:00","2021","01","02","04:00","0.2","","-0.1","","98","","0.0","","31","","13","","8.1","","98.64","","","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 05:00","2021","01","02","05:00","0.3","","0.0","","98","","0.0","","32","","17","","14.5","","98.73","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 06:00","2021","01","02","06:00","0.5","","0.1","","97","","0.0","","30","","18","","9.7","","98.95","","","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 07:00","2021","01","02","07:00","0.5","","0.2","","98","","0.0","","31","","17","","16.1","","99.10","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 08:00","2021","01","02","08:00","0.7","","0.6","","99","","0.0","","30","","15","","8.1","","99.25","","","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 09:00","2021","01","02","09:00","1.0","","0.4","","96","","0.0","","32","","15","","16.1","","99.34","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 10:00","2021","01","02","10:00","1.4","","0.7","","95","","0.0","","32","","9","","16.1","","99.44","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 11:00","2021","01","02","11:00","1.7","","1.0","","95","","0.0","","30","","8","","16.1","","99.49","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 12:00","2021","01","02","12:00","2.0","","1.1","","94","","0.0","","32","","4","","16.1","","99.42","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 13:00","2021","01","02","13:00","2.4","","1.4","","93","","0.0","","30","","8","","16.1","","99.42","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 14:00","2021","01","02","14:00","2.7","","1.4","","91","","0.0","","26","","8","","16.1","","99.47","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 15:00","2021","01","02","15:00","2.3","","1.4","","94","","0.0","","35","","9","","16.1","","99.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 16:00","2021","01","02","16:00","2.1","","1.5","","96","","0.0","","36","","8","","16.1","","99.55","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 17:00","2021","01","02","17:00","2.0","","1.3","","95","","0.0","","","M","4","","16.1","","99.60","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 18:00","2021","01","02","18:00","1.8","","0.2","","89","","0.0","","11","","8","","16.1","","99.62","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 19:00","2021","01","02","19:00","1.7","","-0.2","","87","","0.0","","10","","9","","16.1","","99.61","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 20:00","2021","01","02","20:00","1.7","","-0.2","","87","","0.0","","9","","9","","16.1","","99.52","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 21:00","2021","01","02","21:00","1.6","","-0.2","","88","","0.0","","10","","9","","16.1","","99.45","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-01-02 22:00","2021","01","02","22:00","1.7","","0.1","","89","","0.0","","13","","9","","16.1","","99.38","","","","","","NA"
