"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 00:00","2021","06","01","00:00","14.1","","8.9","","71","","0.0","","18","","13","","16.1","","99.93","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 01:00","2021","06","01","01:00","14.3","","8.3","","67","","0.0","","20","","15","","16.1","","99.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 02:00","2021","06","01","02:00","13.8","","8.3","","69","","0.0","","21","","11","","16.1","","99.94","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 03:00","2021","06","01","03:00","13.7","","8.0","","68","","0.0","","21","","5","","16.1","","99.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 04:00","2021","06","01","04:00","11.9","","8.7","","81","","0.0","","7","","5","","16.1","","99.98","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 05:00","2021","06","01","05:00","12.0","","8.9","","81","","0.0","","","M","4","","16.1","","99.98","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 06:00","2021","06","01","06:00","12.9","","10.1","","83","","0.0","","14","","5","","16.1","","100.01","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 07:00","2021","06","01","07:00","16.1","","10.2","","68","","0.0","","","","0","","16.1","","100.03","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 08:00","2021","06","01","08:00","18.9","","9.6","","54","","0.0","","30","","8","","16.1","","100.06","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 09:00","2021","06","01","09:00","19.7","","7.1","","44","","0.0","","1","","5","","16.1","","100.06","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 10:00","2021","06","01","10:00"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 11:00","2021","06","01","11:00"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 12:00","2021","06","01","12:00"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 13:00","2021","06","01","13:00"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 14:00","2021","06","01","14:00","21.4","","6.7","","38","","0.0","","18","","24","","16.1","","99.94","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 15:00","2021","06","01","15:00","21.4","","5.4","","35","","0.0","","18","","24","","16.1","","99.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 16:00","2021","06","01","16:00","21.9","","6.0","","35","","0.0","","19","","22","","16.1","","99.92","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 17:00","2021","06","01","17:00","21.4","","6.9","","39","","0.0","","21","","18","","16.1","","99.89","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 18:00","2021","06","01","18:00","20.4","","7.8","","44","","0.0","","20","","15","","16.1","","99.86","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 19:00","2021","06","01","19:00","19.1","","7.8","","48","","0.0","","20","","15","","16.1","","99.86","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 20:00","2021","06","01","20:00","16.5","","9.5","","63","","0.0","","17","","8","","16.1","","99.84","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 21:00","2021","06","01","21:00","14.8","","9.4","","70","","0.0","","16","","8","","16.1","","99.83","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 22:00","2021","06","01","22:00","14.0","","8.4","","69","","0.0","","16","","5","","16.1","","99.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-01 23:00","2021","06","01","23:00","14.0","","8.4","","69","","0.0","","17","","8","","16.1","","99.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 00:00","2021","06","02","00:00","13.7","","9.8","","77","","0.0","","14","","8","","16.1","","99.80","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 01:00","2021","06","02","01:00","13.3","","10.3","","82","","0.0","","11","","5","","16.1","","99.76","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 02:00","2021","06","02","02:00","13.0","","10.0","","82","","0.0","","12","","5","","16.1","","99.72","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 03:00","2021","06","02","03:00","14.5","","10.4","","76","","0.0","","16","","4","","16.1","","99.73","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 04:00","2021","06","02","04:00","14.8","","10.4","","75","","0.0","","12","","8","","16.1","","99.70","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 05:00","2021","06","02","05:00","13.1","","10.7","","85","","0.0","","3","","5","","14.5","","99.68","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 06:00","2021","06","02","06:00","14.2","","11.2","","82","","0.0","","8","","5","","16.1","","99.65","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-06-02 07:00","2021","06","02","07:00","15.8","","11.5","","75","","0.0","","11","","13","","16.1","","99.62","","","","","","NA"
