"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 00:00","2022","04","01","00:00","2.4","","-0.7","","80","","0.0","","29","","21","","16.1","","97.91","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 01:00","2022","04","01","01:00","1.5","","-0.3","","88","","0.0","","28","","24","","16.1","","97.92","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 02:00","2022","04","01","02:00","0.9","","-0.1","","93","","0.0","","27","","17","","16.1","","97.97","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 03:00","2022","04","01","03:00","-0.5","","-1.2","","95","","0.2","","28","","24","","3.6","","98.01","","","","-6","","Snow"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 04:00","2022","04","01","04:00","-0.3","","-1.0","","95","","0.0","","29","","11","","16.1","","98.04","","","","-4","","Snow"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 05:00","2022","04","01","05:00","0.2","","-2.0","","85","","0.0","","30","","17","","16.1","","98.11","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 06:00","2022","04","01","06:00","0.1","","-2.8","","81","","0.0","","30","","24","","16.1","","98.21","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 07:00","2022","04","01","07:00","0.0","","-2.9","","81","","0.0","","30","","22","","16.1","","98.30","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 08:00","2022","04","01","08:00","0.4","","-3.3","","76","","0.0","","31","","28","","16.1","","98.39","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 09:00","2022","04","01","09:00","1.0","","-2.3","","79","","0.0","","30","","30","","16.1","","98.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 10:00","2022","04","01","10:00","1.9","","-2.3","","74","","0.0","","30","","34","","16.1","","98.62","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 11:00","2022","04","01","11:00","1.7","","-3.0","","71","","0.0","","31","","28","","16.1","","98.72","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 12:00","2022","04","01","12:00","1.3","","-3.2","","72","","0.0","","29","","30","","16.1","","98.81","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 13:00","2022","04","01","13:00","2.6","","-2.6","","69","","0.0","","31","","34","","16.1","","98.91","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 14:00","2022","04","01","14:00","2.3","","-3.1","","67","","0.0","","32","","35","","16.1","","98.99","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 15:00","2022","04","01","15:00","2.3","","-3.8","","64","","0.0","","31","","34","","16.1","","99.09","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 16:00","2022","04","01","16:00","2.3","","-4.0","","63","","0.0","","32","","28","","16.1","","99.20","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 17:00","2022","04","01","17:00","1.4","","-4.7","","64","","0.0","","33","","28","","16.1","","99.30","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 18:00","2022","04","01","18:00","1.4","","-4.9","","63","","0.0","","32","","22","","16.1","","99.40","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 19:00","2022","04","01","19:00","1.0","","-5.5","","62","","0.0","","32","","18","","16.1","","99.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 20:00","2022","04","01","20:00","0.7","","-4.4","","69","","0.0","","32","","9","","16.1","","99.57","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 21:00","2022","04","01","21:00","0.3","","-3.9","","73","","0.0","","32","","8","","16.1","","99.66","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 22:00","2022","04","01","22:00","0.2","","-3.4","","77","","0.0","","29","","8","","16.1","","99.72","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-01 23:00","2022","04","01","23:00","0.5","","-3.9","","72","","0.0","","31","","9","","16.1","","99.76","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 00:00","2022","04","02","00:00","-0.3","","-5.3","","69","","0.0","","33","","8","","16.1","","99.74","","","","-3","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 01:00","2022","04","02","01:00","-1.1","","-4.6","","77","","0.0","","29","","4","","16.1","","99.73","","","","-2","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 02:00","2022","04","02","02:00","-2.0","","-4.3","","84","","0.0","","21","","8","","16.1","","99.75","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 03:00","2022","04","02","03:00","-2.4","","-4.6","","85","","0.0","","19","","4","","16.1","","99.75","","","","-4","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 04:00","2022","04","02","04:00","-2.9","","-4.7","","87","","0.0","","20","","5","","16.1","","99.76","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 05:00","2022","04","02","05:00","-3.7","","-4.8","","92","","0.0","","18","","5","","16.1","","99.76","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 06:00","2022","04","02","06:00","-3.5","","-5.5","","86","","0.0","","12","","5","","16.1","","99.76","","","","-6","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 07:00","2022","04","02","07:00","-1.7","","-3.4","","88","","0.0","","14","","8","","16.1","","99.80","","","","-5","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 08:00","2022","04","02","08:00","0.8","","-3.0","","76","","0.0","","15","","13","","16.1","","99.77","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 09:00","2022","04","02","09:00","1.8","","-3.3","","69","","0.0","","15","","15","","16.1","","99.68","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 10:00","2022","04","02","10:00","2.6","","-2.8","","68","","0.0","","16","","17","","16.1","","99.63","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 11:00","2022","04","02","11:00","2.8","","-3.0","","66","","0.0","","18","","21","","16.1","","99.60","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 12:00","2022","04","02","12:00","2.9","","-3.7","","62","","0.0","","18","","18","","16.1","","99.50","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 13:00","2022","04","02","13:00","2.8","","-3.8","","62","","0.0","","18","","13","","16.1","","99.40","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 14:00","2022","04","02","14:00","3.1","","-4.5","","57","","0.0","","21","","9","","16.1","","99.27","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 15:00","2022","04","02","15:00","3.3","","-4.1","","58","","0.0","","14","","5","","16.1","","99.12","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 16:00","2022","04","02","16:00","4.0","","-3.7","","57","","0.0","","17","","9","","16.1","","99.04","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 17:00","2022","04","02","17:00","3.7","","-2.6","","64","","0.0","","16","","11","","16.1","","99.00","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 18:00","2022","04","02","18:00","2.3","","-2.0","","73","","0.0","","11","","15","","16.1","","98.94","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 19:00","2022","04","02","19:00","1.2","","-2.9","","74","","0.0","","12","","13","","16.1","","98.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 20:00","2022","04","02","20:00","0.8","","-2.1","","81","","0.0","","12","","15","","16.1","","98.91","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 21:00","2022","04","02","21:00","0.9","","-2.2","","80","","0.0","","11","","13","","16.1","","98.86","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 22:00","2022","04","02","22:00","1.0","","-2.8","","76","","0.0","","9","","11","","16.1","","98.80","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-02 23:00","2022","04","02","23:00","1.0","","-2.7","","76","","0.0","","","","0","","16.1","","98.82","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 00:00","2022","04","03","00:00","0.9","","-2.1","","80","","0.0","","","M","4","","16.1","","98.77","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 01:00","2022","04","03","01:00","0.6","","-1.6","","85","","0.0","","1","","11","","16.1","","98.73","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 02:00","2022","04","03","02:00","0.6","","-1.8","","84","","0.0","","1","","11","","16.1","","98.72","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 03:00","2022","04","03","03:00","0.5","","-1.4","","87","","0.0","","36","","11","","16.1","","98.73","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 04:00","2022","04","03","04:00","0.4","","-0.3","","95","","0.0","","34","","17","","4.8","","98.80","","","","","","Rain,Snow"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 05:00","2022","04","03","05:00","0.2","","-0.4","","96","","0.0","","33","","13","","6.4","","98.86","","","","","","Rain,Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 06:00","2022","04","03","06:00","0.3","","-0.4","","95","","0.0","","32","","21","","11.3","","98.94","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2022-04-03 07:00","2022","04","03","07:00","0.3","","-0.9","","92","","0.0","","31","","17","","16.1","","99.02","","","","","","Rain,Snow"
