"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 00:00","2021","07","01","00:00","20.4","","20.2","","99","","0.0","","24","","8","","6.4","","99.07","","28","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 01:00","2021","07","01","01:00","19.7","","19.5","","99","","0.0","","24","","5","","1.2","","99.02","","","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 02:00","2021","07","01","02:00","19.7","","19.7","","100","","0.0","","25","","8","","4.8","","98.97","","","","","","Fog"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 03:00","2021","07","01","03:00","19.8","","19.8","","100","","0.0","","1","","18","","12.9","","98.95","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 04:00","2021","07","01","04:00","17.7","","16.4","","92","","0.0","","4","","15","","16.1","","98.97","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 05:00","2021","07","01","05:00","17.1","","16.1","","94","","0.0","","5","","8","","16.1","","98.99","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 06:00","2021","07","01","06:00","17.4","","16.4","","94","","0.0","","4","","4","","16.1","","98.96","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 07:00","2021","07","01","07:00","18.0","","17.2","","95","","0.0","","3","","9","","16.1","","98.98","","","","","","Rain"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 08:00","2021","07","01","08:00","20.0","","17.8","","87","","0.0","","3","","13","","16.1","","99.01","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 09:00","2021","07","01","09:00","21.4","","17.9","","80","","0.0","","2","","11","","16.1","","99.00","","27","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 10:00","2021","07","01","10:00","22.5","","17.9","","75","","0.0","","35","","9","","16.1","","99.01","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 11:00","2021","07","01","11:00","23.3","","18.3","","73","","0.0","","35","","18","","16.1","","99.04","","30","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 12:00","2021","07","01","12:00","23.2","","17.5","","70","","0.0","","1","","22","","16.1","","99.02","","29","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 13:00","2021","07","01","13:00","24.0","","18.2","","69","","0.0","","1","","28","","16.1","","98.97","","30","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 14:00","2021","07","01","14:00","23.0","","17.6","","71","","0.0","","2","","24","","16.1","","98.97","","29","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 15:00","2021","07","01","15:00","22.3","","17.8","","75","","0.0","","2","","28","","16.1","","98.95","","28","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 16:00","2021","07","01","16:00","21.7","","16.1","","70","","0.0","","1","","30","","16.1","","98.97","","26","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 17:00","2021","07","01","17:00","21.2","","13.5","","61","","0.0","","1","","28","","16.1","","98.97","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 18:00","2021","07","01","18:00","20.7","","11.5","","55","","0.0","","35","","34","","16.1","","99.00","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 19:00","2021","07","01","19:00","19.0","","12.4","","65","","0.0","","1","","28","","16.1","","99.04","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 20:00","2021","07","01","20:00","16.6","","13.4","","81","","0.0","","1","","26","","16.1","","99.07","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 21:00","2021","07","01","21:00","15.3","","12.8","","85","","0.0","","1","","24","","16.1","","99.08","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 22:00","2021","07","01","22:00","14.5","","12.6","","88","","0.0","","1","","17","","16.1","","99.11","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-01 23:00","2021","07","01","23:00","14.1","","12.5","","90","","0.0","","35","","15","","16.1","","99.07","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 00:00","2021","07","02","00:00","13.9","","12.6","","92","","0.0","","34","","15","","16.1","","99.10","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 01:00","2021","07","02","01:00","13.7","","12.4","","92","","0.0","","33","","13","","16.1","","99.07","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 02:00","2021","07","02","02:00","13.3","","12.5","","95","","0.0","","33","","15","","16.1","","99.04","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 03:00","2021","07","02","03:00","12.9","","12.1","","95","","0.0","","32","","18","","16.1","","99.02","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 04:00","2021","07","02","04:00","12.8","","12.0","","95","","0.0","","32","","15","","16.1","","99.01","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 05:00","2021","07","02","05:00","12.8","","11.9","","94","","0.0","","33","","15","","16.1","","99.03","","","","","","NA"
"-82.08","42.31","CHATHAM KENT","6131414","2021-07-02 06:00","2021","07","02","06:00","13.5","","12.4","","93","","0.0","","33","","17","","16.1","","99.07","","","","","","NA"
