Timestamp,X1,X2,X3,X4,X5,X6,X7,X8,Anomaly_Tag
1378,0.76356,6.0467,391.61,523.48,0.9273,1.5143,6.5917,2.5061,1
1379,0.76313,6.0146,389.44,519.34,0.91443,1.4252,6.6227,2.5104,1
1382,0.73073,5.8869,380.79,500.64,0.52303,0.97201,6.8065,2.6115,1
1383,0.72927,5.8573,377.56,495.2,0.57328,1.0066,6.7078,2.5449,1
1384,0.7287600000000001,5.805,373.35,488.55,0.57355,1.0081,6.56,2.4355,1
1385,0.72929,5.7508,369.9,481.86,0.57629,1.0416,6.6733,2.4314,1
1386,0.7276699999999999,5.7165,366.36,475.91,0.57621,1.0343,6.7216,2.4791,1
1387,0.72416,5.6859,362.44,471.25,0.5623199999999999,1.0038,6.9522,2.5169,1
1388,0.72129,5.6484,358.93,466.37,0.53025,0.9386899999999999,7.1693,2.5022,1
1389,0.71775,5.6127,356.26,460.67,0.48775,0.8855,7.0782,2.5273,1
1390,0.71565,5.5861,352.81,455.22,0.44133999999999995,0.8747299999999999,7.3887,2.6133,1
1393,0.70931,5.4046,337.81,438.38,0.37995,0.89856,7.7054,2.5357,1
1394,0.7079300000000001,5.3725,334.15,432.74,0.4087,0.95588,7.7312,2.5077,1
1396,0.7016600000000001,5.2777,324.14,422.11,0.3983,0.97482,7.9374,2.5036,1
1397,0.69553,5.1825,319.47,415.84,0.40765999999999997,1.0088,7.8254,2.5262,1
1401,0.68529,4.978,302.17,388.81,0.47226999999999997,1.0294,7.5081,2.7552,1
1406,0.67595,4.6813,286.85,363.38,0.4415,0.95705,7.5549,2.6598,1
1408,0.66591,4.5168,279.48,350.53,0.44397,0.8881700000000001,7.4746,2.6047,1
1409,0.66182,4.4672,276.25,344.79,0.41576,0.8731,7.5403,2.6881,1
1411,0.6644,4.3827,269.17,334.02,0.59528,1.1891,7.4665,2.6667,1
1413,0.67138,4.3187,262.2,322.09,0.77551,1.5231,7.9297,2.6024,1
1414,0.67177,4.2687,258.25,317.11,0.80686,1.5233,7.8192,2.544,1
1420,0.6734899999999999,3.8785,234.13,278.95,0.69777,1.0349,6.3177,2.0907,1
1422,0.67811,3.8077,229.87,270.88,0.8610399999999999,1.3208,6.8549,2.2051,1
1423,0.67701,3.7684,226.46,265.64,0.8592,1.3532,7.0758,2.3589,1
1428,0.66259,3.4722,203.42,237.55,0.46801000000000004,1.0661,7.9943,2.8336,1
