"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","mstrasm","mstrasm","lab1-mstrasm","https://github.com/ShaimaaAliECE/lab1-mstrasm","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","GraemeWattUWO","gwatt23","lab1-GraemeWattUWO","https://github.com/ShaimaaAliECE/lab1-GraemeWattUWO","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","duncanwaugh","dwaugh5","lab1-duncanwaugh","https://github.com/ShaimaaAliECE/lab1-duncanwaugh","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","nnguy25","nnguy25","lab1-nnguy25","https://github.com/ShaimaaAliECE/lab1-nnguy25","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","lmayer5","lmayer5","lab1-lmayer5","https://github.com/ShaimaaAliECE/lab1-lmayer5","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","ntfeng3","neng3","lab1-ntfeng3","https://github.com/ShaimaaAliECE/lab1-ntfeng3","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","lndojaUWO","lndoja","lab1-lndojaUWO","https://github.com/ShaimaaAliECE/lab1-lndojaUWO","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","jszyman3","jszyman3","lab1-jszyman3","https://github.com/ShaimaaAliECE/lab1-jszyman3","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","lkalab","lkalab","lab1-lkalab","https://github.com/ShaimaaAliECE/lab1-lkalab","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","Cgilbe","cgilbe27","lab1-Cgilbe","https://github.com/ShaimaaAliECE/lab1-Cgilbe","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","clarkedenomy","cdenomy","lab1-clarkedenomy","https://github.com/ShaimaaAliECE/lab1-clarkedenomy","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","JoshuaCamillo","jcamill5","lab1-JoshuaCamillo","https://github.com/ShaimaaAliECE/lab1-JoshuaCamillo","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","eeshasharmaa","esharm2","lab1-eeshasharmaa","https://github.com/ShaimaaAliECE/lab1-eeshasharmaa","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","dwepple","dwepple","lab1-dwepple","https://github.com/ShaimaaAliECE/lab1-dwepple","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","jwill345","jwill345","lab1-jwill345","https://github.com/ShaimaaAliECE/lab1-jwill345","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","t-jones89","tjones89","lab1-t-jones89","https://github.com/ShaimaaAliECE/lab1-t-jones89","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","dperezde1","dperezde","lab1-dperezde1","https://github.com/ShaimaaAliECE/lab1-dperezde1","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","fprentic","fprentic","lab1-fprentic","https://github.com/ShaimaaAliECE/lab1-fprentic","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","fatemeh220","Fatemeh_TA","lab1-fatemeh220","https://github.com/ShaimaaAliECE/lab1-fatemeh220","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","ldoan8","ldoan8","lab1-ldoan8","https://github.com/ShaimaaAliECE/lab1-ldoan8","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","arnav57","agoyal57","lab1-arnav57","https://github.com/ShaimaaAliECE/lab1-arnav57","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","EvanPark8","epark225","lab1-EvanPark8","https://github.com/ShaimaaAliECE/lab1-EvanPark8","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","JohnKaniukSchool","jkaniuk","lab1-JohnKaniukSchool","https://github.com/ShaimaaAliECE/lab1-JohnKaniukSchool","","0","0"
"Lab1","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab1","https://api.github.com/repos/ShaimaaAliECE/Python_Lab1","BigKeaner","jkeane7","lab1-BigKeaner","https://github.com/ShaimaaAliECE/lab1-BigKeaner","","0","0"
