"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","arnav57","agoyal57","prepareandtest-arnav57","https://github.com/ShaimaaAliECE/prepareandtest-arnav57","2023-01-17 16:44:11 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","EvanPark8","epark225","prepareandtest-EvanPark8","https://github.com/ShaimaaAliECE/prepareandtest-EvanPark8","2023-01-17 17:15:12 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","mnoorchenar","Mohamed_TA","prepareandtest-mnoorchenar","https://github.com/ShaimaaAliECE/prepareandtest-mnoorchenar","2023-01-20 02:25:28 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","nuhaysha","anuh","prepareandtest-nuhaysha","https://github.com/ShaimaaAliECE/prepareandtest-nuhaysha","2023-01-17 20:20:06 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","BigKeaner","jkeane7","prepareandtest-BigKeaner","https://github.com/ShaimaaAliECE/prepareandtest-BigKeaner","2023-01-17 21:14:38 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","KhenneryAgne","kagne","prepareandtest-KhenneryAgne","https://github.com/ShaimaaAliECE/prepareandtest-KhenneryAgne","2023-01-17 22:45:49 UTC","0","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","ChrisLato","clatosi2","prepareandtest-ChrisLato","https://github.com/ShaimaaAliECE/prepareandtest-ChrisLato","2023-01-18 00:18:42 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","jaden-hong","jhong324","prepareandtest-jaden-hong","https://github.com/ShaimaaAliECE/prepareandtest-jaden-hong","2023-01-18 00:47:01 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","eeshasharmaa","esharm2","prepareandtest-eeshasharmaa","https://github.com/ShaimaaAliECE/prepareandtest-eeshasharmaa","2023-01-18 19:03:58 UTC","10","10"
"PrepareAndTest","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/prepareandtest","https://api.github.com/repos/ShaimaaAliECE/PythonTest","asarauz","asarauz","prepareandtest-asarauz","https://github.com/ShaimaaAliECE/prepareandtest-asarauz","2023-01-18 05:05:52 UTC","10","10"
