"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","ldoan8","ldoan8","lab-4-ldoan8","https://github.com/ShaimaaAliECE/lab-4-ldoan8","2023-02-07 18:12:40 UTC","5","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","duncanwaugh","dwaugh5","lab-4-duncanwaugh","https://github.com/ShaimaaAliECE/lab-4-duncanwaugh","2023-02-08 18:13:44 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","fprentic","fprentic","lab-4-fprentic","https://github.com/ShaimaaAliECE/lab-4-fprentic","2023-02-10 23:39:09 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","mstrasm","mstrasm","lab-4-mstrasm","https://github.com/ShaimaaAliECE/lab-4-mstrasm","2023-02-07 18:17:55 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","marif5520","marif27","lab-4-marif5520","https://github.com/ShaimaaAliECE/lab-4-marif5520","2023-02-08 18:21:55 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","BigKeaner","jkeane7","lab-4-BigKeaner","https://github.com/ShaimaaAliECE/lab-4-BigKeaner","2023-02-08 21:51:00 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","asarauz","asarauz","lab-4-asarauz","https://github.com/ShaimaaAliECE/lab-4-asarauz","2023-02-08 02:56:49 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","nuhaysha","anuh","lab-4-nuhaysha","https://github.com/ShaimaaAliECE/lab-4-nuhaysha","2023-02-10 18:06:29 UTC","0","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","ThunderFlame2230","atriguer","lab-4-ThunderFlame2230","https://github.com/ShaimaaAliECE/lab-4-ThunderFlame2230","2023-02-07 21:24:24 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","t-jones89","tjones89","lab-4-t-jones89","https://github.com/ShaimaaAliECE/lab-4-t-jones89","2023-02-11 00:54:09 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","EvanPark8","epark225","lab-4-EvanPark8","https://github.com/ShaimaaAliECE/lab-4-EvanPark8","2023-02-07 18:22:07 UTC","10","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","obhatt3","obhatt3","lab-4-obhatt3","https://github.com/ShaimaaAliECE/lab-4-obhatt3","2023-02-07 18:11:29 UTC","0","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","eeshasharmaa","esharm2","lab-4-eeshasharmaa","https://github.com/ShaimaaAliECE/lab-4-eeshasharmaa","2023-02-09 01:12:41 UTC","5","10"
"Lab 4","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab-4","https://api.github.com/repos/ShaimaaAliECE/SE2251_Lab4","MuhammadMunir123","mmunir22","lab-4-MuhammadMunir123","https://github.com/ShaimaaAliECE/lab-4-MuhammadMunir123","2023-02-11 03:33:56 UTC","5","10"
