"assignment_name","assignment_url","starter_code_url","github_username","roster_identifier","student_repository_name","student_repository_url","submission_timestamp","points_awarded","points_available"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","GraemeWattUWO","gwatt23","lab2-GraemeWattUWO","https://github.com/ShaimaaAliECE/lab2-GraemeWattUWO","2023-01-26 20:41:41 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","fprentic","fprentic","lab2-fprentic","https://github.com/ShaimaaAliECE/lab2-fprentic","2023-01-25 03:22:56 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","mstrasm","mstrasm","lab2-mstrasm","https://github.com/ShaimaaAliECE/lab2-mstrasm","2023-01-24 18:19:43 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","ntfeng3","neng3","lab2-ntfeng3","https://github.com/ShaimaaAliECE/lab2-ntfeng3","2023-01-25 15:24:06 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","lkalab","lkalab","lab2-lkalab","https://github.com/ShaimaaAliECE/lab2-lkalab","2023-01-25 17:14:49 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","asarauz","asarauz","lab2-asarauz","https://github.com/ShaimaaAliECE/lab2-asarauz","2023-01-27 00:34:18 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","arnav57","agoyal57","lab2-arnav57","https://github.com/ShaimaaAliECE/lab2-arnav57","2023-01-24 17:19:53 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","EvanPark8","epark225","lab2-EvanPark8","https://github.com/ShaimaaAliECE/lab2-EvanPark8","2023-01-27 17:16:54 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","malakalhanafi02","malhanaf","lab2-malakalhanafi02","https://github.com/ShaimaaAliECE/lab2-malakalhanafi02","2023-01-25 19:39:48 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","t-jones89","tjones89","lab2-t-jones89","https://github.com/ShaimaaAliECE/lab2-t-jones89","2023-01-26 20:58:40 UTC","10","10"
"Lab2","https://classroom.github.com/classrooms/91145624-se2251-winter2023/assignments/lab2","https://api.github.com/repos/ShaimaaAliECE/Python_Lab2","Ecook46","ecook46","lab2-Ecook46","https://github.com/ShaimaaAliECE/lab2-Ecook46","2023-01-26 20:24:02 UTC","10","10"
